Tamaño 80x200,,,,,,,,,,,
opt,acc,opt,acc,opt,acc,opt,acc,opt,acc,opt,acc
adam,0.9915,sgd,0.9608,adadelta,0.9945,Adamax,0.9799,nadam,0.9898,rmsprop,0.9864
adam,0.9932,sgd,0.9761,adadelta,0.9936,Adamax,0.558,nadam,0.986,rmsprop,0.969
adam,0.9863,sgd,0.9766,adadelta,0.9911,Adamax,0.9856,nadam,0.9877,rmsprop,0.9698
adam,0.9885,sgd,0.8945,adadelta,0.9881,Adamax,0.994,nadam,0.9885,rmsprop,0.9648
adam,0.9911,sgd,0.9711,adadelta,0.9957,Adamax,0.9915,nadam,0.9971,rmsprop,0.9937
adam,0.9902,sgd,0.9628,adadelta,0.9911,Adamax,0.5581,nadam,0.9885,rmsprop,0.4422
adam,0.9868,sgd,0.9685,adadelta,0.9975,Adamax,0.989,nadam,0.991,rmsprop,0.9928
adam,0.9941,sgd,0.9659,adadelta,0.994,Adamax,0.9957,nadam,0.985,rmsprop,0.5581
adam,0.9928,sgd,0.9757,adadelta,0.9944,Adamax,0.5583,nadam,0.4418,rmsprop,0.9765
Tamaño 160x400,,,,,,,,,,,
opt,acc,opt,acc,opt,acc,opt,acc,opt,acc,opt,acc
adam,0.9969,sgd,0.9763,adadelta,0.5165,Adamax,0.9937,nadam,0.4834,rmsprop,0.5168
adam,0.9895,sgd,0.9731,adadelta,0.9942,Adamax,0.991,nadam,0.5164,rmsprop,0.98
adam,0.9937,sgd,0.9652,adadelta,0.9958,Adamax,0.9278,nadam,0.5163,rmsprop,0.5167
adam,0.9921,sgd,0.9627,adadelta,0.9932,Adamax,0.5166,nadam,0.5168,rmsprop,0.99
adam,1,sgd,0.9499,adadelta,0.9963,Adamax,0.9958,nadam,0.4834,rmsprop,0.9704
adam,0.5166,sgd,0.9705,adadelta,0.9958,Adamax,0.4835,nadam,0.4832,rmsprop,0.4835
adam,0.9979,sgd,0.9783,adadelta,0.5164,Adamax,0.4832,nadam,0.5167,rmsprop,0.9937
adam,0.5168,sgd,0.9541,adadelta,0.9984,Adamax,0.5166,nadam,0.5166,rmsprop,0.5165
adam,0.5168,sgd,0.9704,adadelta,0.9915,Adamax,0.4835,nadam,0.5167,rmsprop,0.4834